"gbif_key";"rank";"scientificName";"Length_min_mm";"Length_max_mm";"reference";"remark";"X";"X.1"
2119156;"GENUS";"Eosentomon";0,7;1,3;"10.3897/zookeys.742.22664";"";NA;NA
8280877;"GENUS";"Protocyclidium sinica";0,023;0,03;"Acta Protozool. (2011) 50: 219–234 ";"";NA;NA
7904860;"SPECIES";"Caudiholosticha sylvatica";0,15;0,21;"Berger H. () Monograph of the Urostyloidea (Ciliophora, Hypotricha)";"";NA;NA
8380316;"GENUS";"Caudiholosticha";0,08;0,3;"Berger H. () Monograph of the Urostyloidea (Ciliophora, Hypotricha)";"terrestrial species";NA;NA
8254023;"SPECIES";"Anoplophrya marylandensis";NA;NA;"Berger H. () Monograph of the Urostyloidea (Ciliophora, Hypotricha)";"";NA;NA
7784418;"SPECIES";"Anteholosticha gracilis";0,12;0,12;"Berger H. () Monograph of the Urostyloidea (Ciliophora, Hypotricha)";"";NA;NA
2122150;"GENUS";"Megalothorax";0,4;0,5;"BETSI";"";NA;NA
4537148;"SPECIES";"Sminthurinus bimaculatus";0,45;0,7;"BETSI";"";NA;NA
2120580;"SPECIES";"Sminthurides aquaticus";0,3;1;"BETSI";"";NA;NA
2120343;"SPECIES";"Isotomiella minor";0,7;1,2;"BETSI";"";NA;NA
2119703;"GENUS";"Tetracanthella";1;1,4;"BETSI";"";NA;NA
2121254;"GENUS";"Ceratophysella";1,1;1,6;"BETSI";"";NA;NA
7737552;"GENUS";"Vertagopus";1,5;1,8;"BETSI";"";NA;NA
2122146;"SPECIES";"Podura aquatica";1;2;"BETSI";"";NA;NA
2120754;"SPECIES";"Entomobrya multifasciata";1,5;2;"BETSI";"";NA;NA
2120836;"SPECIES";"Willowsia nigromaculata";2,5;2;"BETSI";"";NA;NA
2120412;"GENUS";"Entomobrya ";1,5;2,2;"BETSI";"";NA;NA
2120372;"SPECIES";"Folsomia quadrioculata";0,9;2,5;"BETSI";"";NA;NA
2120510;"SPECIES";"Protaphorura armata";1,1;2,5;"BETSI";"";NA;NA
2120880;"GENUS";"Lepidocyrtus";1,5;2,5;"BETSI";"";NA;NA
2155886;"SPECIES";"Robertus neglectus";1,5;2,5;"BETSI";"";NA;NA
2120383;"SPECIES";"Folsomia candida";0,7;3;"BETSI";"";NA;NA
2120899;"SPECIES";"Lepidocyrtus paradoxus";3;3;"BETSI";"";NA;NA
5167064;"SPECIES";"Sminthurus viridis";3;3;"BETSI";"";NA;NA
1037319;"SPECIES";"Trechus obtusus";3,2;4;"BETSI";"French sources";NA;NA
4476667;"SPECIES";"Trechus quadristriatus";3,2;4;"BETSI";"French sources";NA;NA
2120979;"SPECIES";"Orchesella villosa";3,3;5,5;"BETSI";"";NA;NA
5166886;"SPECIES";"Isotoma viridis";3;6;"BETSI";"";NA;NA
5023058;"SPECIES";"Notiophilus rufipes";5;6,5;"BETSI";"French sources";NA;NA
4538324;"SPECIES";"Tetrodontophora bielanensis";5;9;"BETSI";"";NA;NA
1419845;"SPECIES";"Forficula auricularia";12,5;21;"BETSI";"";NA;NA
1020585;"SPECIES";"Polydesmus coriaceus";14;30;"BETSI";"French sources";NA;NA
1013578;"SPECIES";"Cylindroiulus caeruleocinctus";20;30;"BETSI";"French sources";NA;NA
2230246;"SPECIES";"Lithobius forficatus";18;32;"BETSI";"";NA;NA
2230514;"SPECIES";"Lithobius variegatus";18;33;"BETSI";"";NA;NA
4410498;"SPECIES";"Satchellius mammalis";32;41;"BETSI";"French sources";NA;NA
4410653;"SPECIES";"Lumbricus castaneus";35;60;"BETSI";"French sources";NA;NA
2307760;"SPECIES";"Aporrectodea rosea";40;70;"BETSI";"French sources";NA;NA
4410938;"SPECIES";"Allolobophora chlorotica";50;80;"BETSI";"French sources";NA;NA
2307759;"SPECIES";"Aporrectodea caliginosa";60;90;"BETSI";"French sources";NA;NA
2307766;"SPECIES";"Octolasion cyaneum";80;140;"BETSI";"French sources";NA;NA
2307757;"SPECIES";"Aporrectodea longa";130;170;"BETSI";"French sources";NA;NA
4410657;"SPECIES";"Lumbricus terrestris";130;250;"BETSI";"French sources";NA;NA
7576647;"SPECIES";"Lumbricus centralis";130;250;"BETSI";"French sources";NA;NA
8161409;"SPECIES";"Lumbricus friendi";90;NA;"BETSI";"French sources";NA;NA
7902508;"GENUS";"Pseudochilodonopsis";0,04;0,124;"DOI 10.1099/ijsem.0.000580";"";NA;NA
3194568;"SPECIES";"Spumella vulgaris";0,0032;0,0059;"doi:  [10.1111/jeu.12287]";"";NA;NA
3194566;"GENUS";"Spumella lacusvadosi";0,0015;0,0071;"doi:  [10.1111/jeu.12287]";"";NA;NA
3194566;"GENUS";"Spumella";0,0015;0,0086;"doi:  [10.1111/jeu.12287]";"";NA;NA
2253647;"SPECIES";"Hypsibius convergens";166;275;"DOI: 10.1007/s11676-008-0062-z";"";NA;NA
8410027;"GENUS";"Euplotes qatarensis";0,05;0,065;"doi: 10.1111/jeu.12305";"";NA;NA
8136143;"GENUS";"Colpoda";0,04;0,1;"DOI: 10.2307/4444570";"";NA;NA
8374779;"SPECIES";"Euplotes trisulcatus";0,035;0,05;"DOI: 10.4467/16890027AP.13.008.1087";"";NA;NA
7866880;"SPECIES";"Euplotes balteatus";0,03;0,15;"DOI: 10.4467/16890027AP.13.008.1087";"";NA;NA
7735326;"SPECIES";"Tachysoma pellionellum";0,07;0,09;"doi:10.4467/16890027AP.17.020.7822";"";NA;NA
4406135;"GENUS";"Veigaia";0,5;1;"European mites of the  genus  Veigaia  Oudemans, 1905 (Acari,  Gamasida:  Veigaiaidae)";"";NA;NA
4548736;"SPECIES";"Veigaia nemorensis";1;1;"European mites of the  genus  Veigaia  Oudemans, 1905 (Acari,  Gamasida:  Veigaiaidae)";"";NA;NA
3201168;"GENUS";"Botryochloris";0,003;0,03;"Freshwater Algae of North America: Ecology and Classification";"";NA;NA
